order_item_id,order_id,item_id,supplier_id,quantity,fulfilled_quantity,fulfilled_date,customer_id,order_date,order_status,item_status,name,category,unit_price,item_failure_rate,item_restock_weight,name_supplier,category_supplier,supplier_failure_rate,supplier_fulfillment_weight,avg_quantity_on_hand,avg_backlog,stockouts,fulfilled_binary
47,16,5,6,5,5,01/08/2025,37,01/08/2025,fulfilled,Fulfilled,Party,Clothing,42.32,0.31,5.18,Austin Inc,Clothing,0.12,3.08,24.84484484,138.5415415,0,1
48,16,31,10,3,3,02/08/2025,37,01/08/2025,fulfilled,Fulfilled,During,Electronics,8.85,0.25,0.51,Walker and Sons,Electronics,0.41,0.14,3.006006006,317.006006,369,1
49,17,30,1,4,4,01/08/2025,119,01/08/2025,fulfilled,Fulfilled,Source,Clothing,15.78,0.13,3.45,Perez PLC,Clothing,0.32,0.25,23.56556557,115.5995996,0,1
50,17,17,7,5,5,01/08/2025,119,01/08/2025,fulfilled,Fulfilled,How,Food,16.82,0.3,5.4,Bennett Ltd,Food,0.02,1.27,23.21021021,112.993994,1,1
51,17,43,3,1,1,01/08/2025,119,01/08/2025,fulfilled,Fulfilled,Decision,Medical,23.5,0.43,0.42,Miller-Torres,Medical,0.37,4.09,5.900900901,228.5815816,221,1
52,18,23,7,3,3,01/08/2025,98,01/08/2025,fulfilled,Fulfilled,Food,Food,38.79,0.39,2.11,Bennett Ltd,Food,0.02,1.27,12.97297297,136.9399399,21,1
53,18,37,5,5,5,02/08/2025,98,01/08/2025,fulfilled,Fulfilled,Style,Electronics,31.47,0.12,1.4,Walsh-Phillips,Electronics,0.22,0.28,13.36236236,113.951952,5,1
54,18,19,3,5,5,01/08/2025,98,01/08/2025,fulfilled,Fulfilled,Manage,Medical,9.09,0.03,0.75,Miller-Torres,Medical,0.37,4.09,8.766766767,120.7347347,40,1
55,18,45,10,3,3,02/08/2025,98,01/08/2025,fulfilled,Fulfilled,Paper,Electronics,16.19,0.1,2.75,Walker and Sons,Electronics,0.41,0.14,19.27027027,119.0800801,3,1
56,18,2,1,5,5,01/08/2025,98,01/08/2025,fulfilled,Fulfilled,Dog,Clothing,9.6,0.2,2.22,Perez PLC,Clothing,0.32,0.25,13.16316316,143.5375375,22,1
57,19,48,5,2,2,02/08/2025,76,01/08/2025,fulfilled,Fulfilled,Agent,Electronics,34.35,0.27,0.19,Walsh-Phillips,Electronics,0.22,0.28,0.367367367,722.5815816,843,1
58,19,27,7,5,5,02/08/2025,76,01/08/2025,fulfilled,Fulfilled,No,Food,13.95,0.19,1.05,Bennett Ltd,Food,0.02,1.27,5.408408408,140.8808809,108,1
59,19,12,7,2,2,02/08/2025,76,01/08/2025,fulfilled,Fulfilled,Reason,Food,14.88,0.17,4.63,Bennett Ltd,Food,0.02,1.27,21.82182182,114.8738739,6,1
60,20,36,2,3,3,01/08/2025,58,01/08/2025,fulfilled,Fulfilled,Always,Food,25.32,0.13,0.48,"Moore, Bridges and Donaldson",Food,0.14,1.42,4.199199199,260.7717718,314,1
61,20,24,1,4,4,01/08/2025,58,01/08/2025,fulfilled,Fulfilled,However,Clothing,24.56,0.23,5.73,Perez PLC,Clothing,0.32,0.25,25.56456456,121.2072072,0,1
62,20,6,7,3,3,01/08/2025,58,01/08/2025,fulfilled,Fulfilled,Risk,Food,13.65,0.04,4,Bennett Ltd,Food,0.02,1.27,20.94394394,93.6966967,7,1
63,20,26,10,3,3,01/08/2025,58,01/08/2025,fulfilled,Fulfilled,Congress,Electronics,44.17,0.16,3.87,Walker and Sons,Electronics,0.41,0.14,25.17617618,100.6666667,0,1
64,21,32,2,5,5,02/08/2025,10,01/08/2025,fulfilled,Fulfilled,One,Food,39.46,0.07,2.9,"Moore, Bridges and Donaldson",Food,0.14,1.42,16.66966967,104.6556557,11,1
65,21,8,3,4,4,02/08/2025,10,01/08/2025,fulfilled,Fulfilled,Occur,Medical,17.51,0.32,2.25,Miller-Torres,Medical,0.37,4.09,18.85585586,132.3273273,0,1
66,21,7,6,3,3,02/08/2025,10,01/08/2025,fulfilled,Fulfilled,Left,Clothing,49.33,0.43,5.21,Austin Inc,Clothing,0.12,3.08,19.86586587,143.1701702,5,1
67,22,29,10,1,1,03/08/2025,95,01/08/2025,fulfilled,Fulfilled,Know,Electronics,46.81,0.44,5.01,Walker and Sons,Electronics,0.41,0.14,25.12412412,129.6886887,0,1
68,22,16,8,5,5,02/08/2025,95,01/08/2025,fulfilled,Fulfilled,Long,Medical,11.43,0.08,4.5,Carlson LLC,Medical,0.33,3.32,20.34234234,141.5995996,8,1
69,23,8,3,2,2,02/08/2025,71,01/08/2025,fulfilled,Fulfilled,Occur,Medical,17.51,0.32,2.25,Miller-Torres,Medical,0.37,4.09,18.85585586,132.3273273,0,1
70,23,30,1,1,1,01/08/2025,71,01/08/2025,fulfilled,Fulfilled,Source,Clothing,15.78,0.13,3.45,Perez PLC,Clothing,0.32,0.25,23.56556557,115.5995996,0,1
71,24,35,1,1,1,01/08/2025,38,01/08/2025,fulfilled,Fulfilled,Bit,Clothing,22.95,0.34,2.3,Perez PLC,Clothing,0.32,0.25,17.60660661,113.4644645,3,1
72,24,17,2,2,2,02/08/2025,38,01/08/2025,fulfilled,Fulfilled,How,Food,16.82,0.3,5.4,"Moore, Bridges and Donaldson",Food,0.14,1.42,26.15915916,114.5605606,0,1
73,25,28,7,1,1,01/08/2025,123,01/08/2025,fulfilled,Fulfilled,Officer,Food,46.33,0.3,2.98,Bennett Ltd,Food,0.02,1.27,20.32832833,117.3333333,1,1
74,25,44,5,3,3,02/08/2025,123,01/08/2025,fulfilled,Fulfilled,Hand,Electronics,7.73,0.37,4.82,Walsh-Phillips,Electronics,0.22,0.28,25.94394394,107.3273273,0,1
75,25,7,1,1,1,02/08/2025,123,01/08/2025,fulfilled,Fulfilled,Left,Clothing,49.33,0.43,5.21,Perez PLC,Clothing,0.32,0.25,20.78478478,170.4314314,12,1
76,25,32,2,3,3,02/08/2025,123,01/08/2025,fulfilled,Fulfilled,One,Food,39.46,0.07,2.9,"Moore, Bridges and Donaldson",Food,0.14,1.42,16.66966967,104.6556557,11,1
77,26,9,6,1,1,02/08/2025,25,01/08/2025,fulfilled,Fulfilled,Various,Clothing,20.99,0.34,4.24,Austin Inc,Clothing,0.12,3.08,23.08508509,98.34334334,2,1
78,26,36,7,3,3,01/08/2025,25,01/08/2025,fulfilled,Fulfilled,Always,Food,25.32,0.13,0.48,Bennett Ltd,Food,0.02,1.27,5.623623624,154.1781782,216,1
79,26,4,7,1,1,01/08/2025,25,01/08/2025,fulfilled,Fulfilled,Reality,Food,10.62,0.46,0.56,Bennett Ltd,Food,0.02,1.27,2.811811812,281.0590591,345,1
80,27,7,6,1,1,02/08/2025,124,01/08/2025,fulfilled,Fulfilled,Left,Clothing,49.33,0.43,5.21,Austin Inc,Clothing,0.12,3.08,19.86586587,143.1701702,5,1
81,27,23,7,5,5,01/08/2025,124,01/08/2025,fulfilled,Fulfilled,Food,Food,38.79,0.39,2.11,Bennett Ltd,Food,0.02,1.27,12.97297297,136.9399399,21,1
82,28,22,2,2,2,02/08/2025,70,01/08/2025,fulfilled,Fulfilled,Well,Food,43.74,0.02,4.35,"Moore, Bridges and Donaldson",Food,0.14,1.42,20.26926927,130.8918919,13,1
83,28,23,7,1,1,01/08/2025,70,01/08/2025,fulfilled,Fulfilled,Food,Food,38.79,0.39,2.11,Bennett Ltd,Food,0.02,1.27,12.97297297,136.9399399,21,1
84,28,1,4,1,1,02/08/2025,70,01/08/2025,fulfilled,Fulfilled,Quickly,Hardware,36.42,0.18,1.02,Young PLC,Hardware,0.45,0.61,8.688688689,151.7237237,67,1
85,29,29,10,5,5,01/08/2025,21,01/08/2025,fulfilled,Fulfilled,Know,Electronics,46.81,0.44,5.01,Walker and Sons,Electronics,0.41,0.14,25.12412412,129.6886887,0,1
86,29,43,8,4,4,02/08/2025,21,01/08/2025,fulfilled,Fulfilled,Decision,Medical,23.5,0.43,0.42,Carlson LLC,Medical,0.33,3.32,5.418418418,217.1731732,249,1
87,29,28,7,2,2,02/08/2025,21,01/08/2025,fulfilled,Fulfilled,Officer,Food,46.33,0.3,2.98,Bennett Ltd,Food,0.02,1.27,20.32832833,117.3333333,1,1
88,30,19,8,5,5,01/08/2025,111,01/08/2025,fulfilled,Fulfilled,Manage,Medical,9.09,0.03,0.75,Carlson LLC,Medical,0.33,3.32,6.943943944,155.8548549,108,1
89,31,4,2,3,3,01/08/2025,102,01/08/2025,fulfilled,Fulfilled,Reality,Food,10.62,0.46,0.56,"Moore, Bridges and Donaldson",Food,0.14,1.42,5.365365365,165.4264264,184,1
90,31,1,9,3,3,02/08/2025,102,01/08/2025,fulfilled,Fulfilled,Quickly,Hardware,36.42,0.18,1.02,Greene Ltd,Hardware,0.12,3.58,5.096096096,190.5425425,172,1
91,31,14,1,1,1,02/08/2025,102,01/08/2025,fulfilled,Fulfilled,Civil,Clothing,7.98,0.46,3.45,Perez PLC,Clothing,0.32,0.25,22.58458458,154.1411411,1,1
92,31,20,9,4,4,02/08/2025,102,01/08/2025,fulfilled,Fulfilled,Box,Hardware,40.64,0.22,0.47,Greene Ltd,Hardware,0.12,3.58,3.173173173,251.7877878,342,1
93,31,50,3,2,2,01/08/2025,102,01/08/2025,fulfilled,Fulfilled,Sell,Medical,26.66,0.43,5.42,Miller-Torres,Medical,0.37,4.09,26.24424424,130.9019019,0,1
94,32,49,5,2,2,01/08/2025,155,01/08/2025,fulfilled,Fulfilled,Court,Electronics,46.69,0.43,1.08,Walsh-Phillips,Electronics,0.22,0.28,13.5985986,143.8708709,15,1
95,32,42,8,4,4,01/08/2025,155,01/08/2025,fulfilled,Fulfilled,There,Medical,13.57,0.06,2.64,Carlson LLC,Medical,0.33,3.32,13.85785786,121.7127127,32,1
96,33,29,5,3,3,02/08/2025,18,01/08/2025,fulfilled,Fulfilled,Know,Electronics,46.81,0.44,5.01,Walsh-Phillips,Electronics,0.22,0.28,21.6046046,139.6786787,8,1
97,33,41,2,3,3,02/08/2025,18,01/08/2025,fulfilled,Fulfilled,Ready,Food,30.93,0.13,2.89,"Moore, Bridges and Donaldson",Food,0.14,1.42,14.86186186,133.2972973,25,1
98,33,20,9,4,4,02/08/2025,18,01/08/2025,fulfilled,Fulfilled,Box,Hardware,40.64,0.22,0.47,Greene Ltd,Hardware,0.12,3.58,3.173173173,251.7877878,342,1
99,33,18,3,1,1,02/08/2025,18,01/08/2025,fulfilled,Fulfilled,Of,Medical,21.29,0.5,0.92,Miller-Torres,Medical,0.37,4.09,4.995995996,193.5415415,174,1
100,34,44,5,3,3,02/08/2025,25,01/08/2025,fulfilled,Fulfilled,Hand,Electronics,7.73,0.37,4.82,Walsh-Phillips,Electronics,0.22,0.28,25.94394394,107.3273273,0,1
101,34,25,1,5,5,02/08/2025,25,01/08/2025,fulfilled,Fulfilled,Choose,Clothing,48.73,0.38,3.1,Perez PLC,Clothing,0.32,0.25,18.6006006,133.002002,4,1
102,34,19,3,3,3,02/08/2025,25,01/08/2025,fulfilled,Fulfilled,Manage,Medical,9.09,0.03,0.75,Miller-Torres,Medical,0.37,4.09,8.766766767,120.7347347,40,1
103,34,17,7,4,4,02/08/2025,25,01/08/2025,fulfilled,Fulfilled,How,Food,16.82,0.3,5.4,Bennett Ltd,Food,0.02,1.27,23.21021021,112.993994,1,1
104,34,47,5,5,5,02/08/2025,25,01/08/2025,fulfilled,Fulfilled,Now,Electronics,24.94,0.43,3.35,Walsh-Phillips,Electronics,0.22,0.28,24.04004004,124.6366366,1,1
105,35,33,2,2,2,02/08/2025,172,01/08/2025,fulfilled,Fulfilled,List,Food,12.43,0.27,3.68,"Moore, Bridges and Donaldson",Food,0.14,1.42,24.62262262,110.8798799,0,1
106,35,24,6,4,4,02/08/2025,172,01/08/2025,fulfilled,Fulfilled,However,Clothing,24.56,0.23,5.73,Austin Inc,Clothing,0.12,3.08,24.06606607,100.4874875,1,1
107,35,2,1,2,2,03/08/2025,172,01/08/2025,fulfilled,Fulfilled,Dog,Clothing,9.6,0.2,2.22,Perez PLC,Clothing,0.32,0.25,13.16316316,143.5375375,22,1
108,35,20,4,2,2,02/08/2025,172,01/08/2025,fulfilled,Fulfilled,Box,Hardware,40.64,0.22,0.47,Young PLC,Hardware,0.45,0.61,6.512512513,204.6266266,198,1
109,36,9,1,5,5,02/08/2025,87,01/08/2025,fulfilled,Fulfilled,Various,Clothing,20.99,0.34,4.24,Perez PLC,Clothing,0.32,0.25,24.56656657,141.5555556,2,1
110,36,39,5,4,4,02/08/2025,87,01/08/2025,fulfilled,Fulfilled,Own,Electronics,43.68,0.04,1.5,Walsh-Phillips,Electronics,0.22,0.28,9.927927928,115.3823824,39,1
111,36,25,1,4,4,02/08/2025,87,01/08/2025,fulfilled,Fulfilled,Choose,Clothing,48.73,0.38,3.1,Perez PLC,Clothing,0.32,0.25,18.6006006,133.002002,4,1
112,36,10,10,2,2,02/08/2025,87,01/08/2025,fulfilled,Fulfilled,Consider,Electronics,32.41,0.09,4.4,Walker and Sons,Electronics,0.41,0.14,23.06206206,137.3863864,0,1
113,36,11,9,5,5,02/08/2025,87,01/08/2025,fulfilled,Fulfilled,Fast,Hardware,25.8,0.14,5.56,Greene Ltd,Hardware,0.12,3.58,23.02702703,101.5145145,1,1
114,37,29,10,1,1,02/08/2025,42,01/08/2025,fulfilled,Fulfilled,Know,Electronics,46.81,0.44,5.01,Walker and Sons,Electronics,0.41,0.14,25.12412412,129.6886887,0,1
115,37,33,2,4,4,02/08/2025,42,01/08/2025,fulfilled,Fulfilled,List,Food,12.43,0.27,3.68,"Moore, Bridges and Donaldson",Food,0.14,1.42,24.62262262,110.8798799,0,1
116,37,10,10,1,1,03/08/2025,42,01/08/2025,fulfilled,Fulfilled,Consider,Electronics,32.41,0.09,4.4,Walker and Sons,Electronics,0.41,0.14,23.06206206,137.3863864,0,1
117,38,16,8,2,2,02/08/2025,129,01/08/2025,fulfilled,Fulfilled,Long,Medical,11.43,0.08,4.5,Carlson LLC,Medical,0.33,3.32,20.34234234,141.5995996,8,1
118,38,25,1,3,3,02/08/2025,129,01/08/2025,fulfilled,Fulfilled,Choose,Clothing,48.73,0.38,3.1,Perez PLC,Clothing,0.32,0.25,18.6006006,133.002002,4,1
119,38,6,2,3,3,02/08/2025,129,01/08/2025,fulfilled,Fulfilled,Risk,Food,13.65,0.04,4,"Moore, Bridges and Donaldson",Food,0.14,1.42,22.82382382,131.2392392,4,1
120,39,45,10,4,4,02/08/2025,74,01/08/2025,fulfilled,Fulfilled,Paper,Electronics,16.19,0.1,2.75,Walker and Sons,Electronics,0.41,0.14,19.27027027,119.0800801,3,1
121,39,9,1,1,1,03/08/2025,74,01/08/2025,fulfilled,Fulfilled,Various,Clothing,20.99,0.34,4.24,Perez PLC,Clothing,0.32,0.25,24.56656657,141.5555556,2,1
122,39,49,5,3,3,02/08/2025,74,01/08/2025,fulfilled,Fulfilled,Court,Electronics,46.69,0.43,1.08,Walsh-Phillips,Electronics,0.22,0.28,13.5985986,143.8708709,15,1
123,39,46,3,2,2,03/08/2025,74,01/08/2025,fulfilled,Fulfilled,Face,Medical,13.26,0.24,5.26,Miller-Torres,Medical,0.37,4.09,25.09309309,118.3723724,0,1
124,40,30,1,5,5,02/08/2025,108,01/08/2025,fulfilled,Fulfilled,Source,Clothing,15.78,0.13,3.45,Perez PLC,Clothing,0.32,0.25,23.56556557,115.5995996,0,1
125,40,5,1,2,2,02/08/2025,108,01/08/2025,fulfilled,Fulfilled,Party,Clothing,42.32,0.31,5.18,Perez PLC,Clothing,0.32,0.25,25.07907908,149.6746747,1,1
126,40,8,8,4,4,03/08/2025,108,01/08/2025,fulfilled,Fulfilled,Occur,Medical,17.51,0.32,2.25,Carlson LLC,Medical,0.33,3.32,17.35535536,115.9139139,1,1
127,40,32,2,5,5,02/08/2025,108,01/08/2025,fulfilled,Fulfilled,One,Food,39.46,0.07,2.9,"Moore, Bridges and Donaldson",Food,0.14,1.42,16.66966967,104.6556557,11,1
128,40,39,10,2,2,02/08/2025,108,01/08/2025,fulfilled,Fulfilled,Own,Electronics,43.68,0.04,1.5,Walker and Sons,Electronics,0.41,0.14,10.68868869,115.7837838,40,1
129,41,17,7,1,1,02/08/2025,100,01/08/2025,fulfilled,Fulfilled,How,Food,16.82,0.3,5.4,Bennett Ltd,Food,0.02,1.27,23.21021021,112.993994,1,1
130,41,48,10,2,2,02/08/2025,100,01/08/2025,fulfilled,Fulfilled,Agent,Electronics,34.35,0.27,0.19,Walker and Sons,Electronics,0.41,0.14,0.332332332,884.9449449,851,1
131,41,2,1,5,5,03/08/2025,100,01/08/2025,fulfilled,Fulfilled,Dog,Clothing,9.6,0.2,2.22,Perez PLC,Clothing,0.32,0.25,13.16316316,143.5375375,22,1
132,42,22,7,4,4,02/08/2025,91,01/08/2025,fulfilled,Fulfilled,Well,Food,43.74,0.02,4.35,Bennett Ltd,Food,0.02,1.27,21.5015015,124.4054054,6,1
133,42,42,3,2,2,02/08/2025,91,01/08/2025,fulfilled,Fulfilled,There,Medical,13.57,0.06,2.64,Miller-Torres,Medical,0.37,4.09,22.48048048,94.84084084,0,1
134,42,12,2,4,4,02/08/2025,91,01/08/2025,fulfilled,Fulfilled,Reason,Food,14.88,0.17,4.63,"Moore, Bridges and Donaldson",Food,0.14,1.42,20.63963964,128.1301301,8,1
135,42,50,3,3,3,02/08/2025,91,01/08/2025,fulfilled,Fulfilled,Sell,Medical,26.66,0.43,5.42,Miller-Torres,Medical,0.37,4.09,26.24424424,130.9019019,0,1
136,42,44,5,1,1,02/08/2025,91,01/08/2025,fulfilled,Fulfilled,Hand,Electronics,7.73,0.37,4.82,Walsh-Phillips,Electronics,0.22,0.28,25.94394394,107.3273273,0,1
137,43,24,1,5,5,02/08/2025,40,01/08/2025,fulfilled,Fulfilled,However,Clothing,24.56,0.23,5.73,Perez PLC,Clothing,0.32,0.25,25.56456456,121.2072072,0,1
138,43,29,10,4,4,02/08/2025,40,01/08/2025,fulfilled,Fulfilled,Know,Electronics,46.81,0.44,5.01,Walker and Sons,Electronics,0.41,0.14,25.12412412,129.6886887,0,1
139,43,49,10,3,3,02/08/2025,40,01/08/2025,fulfilled,Fulfilled,Court,Electronics,46.69,0.43,1.08,Walker and Sons,Electronics,0.41,0.14,9.322322322,146.2462462,20,1
140,43,5,1,1,1,02/08/2025,40,01/08/2025,fulfilled,Fulfilled,Party,Clothing,42.32,0.31,5.18,Perez PLC,Clothing,0.32,0.25,25.07907908,149.6746747,1,1
